0,1,2,portfolio
119.72,63.99,56.27,20000.0
113.49,63.35,56.35,19999.999999999975
115.24,64.6,56.38,20307.999999999975
115.15,64.34,56.85,20292.15999999994
115.96,64.98,57.1,20493.75999999994
117.16,65.27,57.74,20585.10999999994
116.5,65.77,57.83,20585.10999999983
115.01,65.35,57.59,20499.909999999865
112.65,63.89,55.81,20079.829999999864
105.76,62.45,52.84,18853.409999999865
103.12,60.79,50.34,18383.489999999863
103.74,60.44,51.09,18493.84999999986
109.69,63.14,53.96,19552.949999999862
112.92,64.29,55.95,20127.889999999865
113.29,64.55,55.63,20193.749999999865
112.76,64.82,54.71,20099.40999999993
107.72,63.85,53.5,19798.709999999934
112.34,64.72,55.26,19798.70999999991
110.37,65.11,54.69,19451.989999999914
109.27,66.31,54.28,19258.389999999912
112.31,69.61,55.21,19793.429999999913
110.15,68.3,54.69,19413.269999999913
112.57,69.09,55.37,19839.18999999991
114.21,67.08,56.53,20127.82999999991
115.31,66.84,56.29,20321.429999999913
116.28,67.15,56.91,20492.149999999885
116.41,67.47,57.26,20589.749999999884
113.92,67.03,57.28,20589.749999999935
113.45,67.09,56.84,20505.149999999936
115.21,67.05,57.54,20821.950000000055
113.4,66.58,57.12,20676.250000000055
114.32,67.8,57.79,21054.45000000002
115.0,67.91,58.37,21208.17000000002
114.71,69.2,57.99,21126.43000000002
112.44,67.93,55.77,20708.75000000002
109.06,67.45,55.72,20086.83000000002
110.3,68.38,56.84,20314.99000000002
109.58,67.76,57.48,20182.51000000002
110.38,68.4,58.08,20329.710000000017
110.78,69.75,59.04,20403.31000000002
111.31,69.19,58.69,20239.79000000002
110.78,69.79,58.78,20239.790000000015
109.5,69.5,59.46,20006.830000000016
112.12,68.78,60.07,20483.670000000016
111.6,69.43,60.54,20389.50000000002
111.79,69.04,60.16,20423.69000000002
110.21,68.7,58.82,20136.129999999906
111.86,69.27,59.69,20303.139999999905
111.04,69.26,59.93,20300.209999999905
111.73,69.03,60.97,20300.20999999997
113.77,69.48,60.88,20669.449999999968
113.76,69.47,60.53,20667.289999999964
115.5,70.48,61.49,20967.259999999966
119.08,70.48,62.61,20967.259999999966
115.28,70.05,63.43,20967.259999999897
114.55,69.96,62.71,20729.659999999894
119.27,70.37,63.51,20993.659999999833
120.53,70.13,62.5,21215.41999999983
119.5,69.97,62.57,21034.13999999982
121.18,70.73,62.24,21262.13999999982
122.57,71.36,62.8,21262.13999999986
122.0,65.24,61.96,21163.52999999979
120.92,67.4,62.28,21863.369999999795
121.06,68.01,61.97,22061.009999999795
120.57,68.2,61.34,22061.009999999835
116.77,68.34,62.18,21369.409999999796
116.11,70.02,61.87,21893.569999999792
115.72,69.44,61.07,21712.609999999793
112.34,69.03,59.74,21712.609999999768
114.175,70.02,60.68,22066.764999999767
113.69,71.05,60.55,21973.159999999767
117.29,71.98,61.8,22667.95999999977
118.78,72.45,61.46,22955.52999999977
119.3,72.19,61.99,23055.88999999985
117.75,72.24,62.64,23071.839999999847
118.88,71.96,61.96,22982.519999999848
118.03,71.83,62.19,22982.519999999873
117.81,72.02,62.18,22939.839999999756
118.3,71.78,61.39,22863.51999999976
117.34,72.05,61.37,22863.519999999735
116.28,71.89,61.22,22657.879999999735
115.2,71.08,59.55,22448.359999999735
119.03,72.11,61.75,23191.379999999735
118.28,70.38,61.89,23045.879999999735
118.23,69.75,62.16,23036.179999999735
115.62,69.31,61.18,22529.83999999966
116.17,69.37,61.87,22549.33999999966
113.18,68.61,59.82,22302.33999999966
112.48,68.14,59.92,22302.33999999973
110.49,69.13,59.98,21908.31999999973
111.34,69.52,60.35,22031.559999999732
108.98,68.56,59.515,22031.5599999998
106.03,67.58,58.62,21435.659999999803
107.33,68.03,59.54,21698.259999999802
107.23,68.87,59.99,21678.0599999998
108.61,69.21,60.34,21956.81999999997
108.03,69.06,60.32,21909.26999999997
106.82,69.18,60.19,21909.270000000015
108.74,69.64,61.13,22302.870000000017
107.32,69.3,60.82,22011.770000000015
105.26,68.45,60.03,21589.470000000016
105.35,67.13,58.26,21607.920000000016
102.71,66.39,58.65,21066.720000000016
100.7,65.43,58.13,20654.670000000016
96.45,64.11,56.69,19783.420000000016
96.96,64.25,56.63,19887.970000000016
98.53,64.37,57.82,20209.81999999999
99.96,64.91,59.46,20378.839999999986
97.39,63.37,57.87,19896.819999999985
99.52,63.11,58.98,19896.819999999916
97.13,61.59,58.0,19421.209999999915
96.66,61.13,58.55,19328.229999999916
96.79,60.36,56.92,19352.46999999992
96.3,60.82,59.03,19255.41999999992
101.42,62.04,59.17,20275.51999999992
99.44,62.42,57.71,20275.899999999918
99.99,63.16,58.61,20275.89999999989
93.42,64.8,57.63,18948.75999999989
94.09,64.74,59.285,19084.09999999989
97.34,66.77,60.77,19740.59999999989
96.43,66.85,61.4,19557.40999999989
94.48,64.32,60.695,19162.804999999888
96.35,64.88,59.53,19540.544999999885
96.6,64.25,58.29,19591.044999999885
94.02,62.82,54.49,19156.324999999884
95.01,62.09,54.14,18934.404999999886
94.99,62.24,54.42,18980.004999999885
94.27,60.97,55.14,18593.924999999886
93.7,60.52,54.92,18593.924999999934
93.99,61.78,55.86,18911.644999999924
96.64,63.42,56.41,19444.294999999925
98.12,65.05,57.63,19741.77499999993
96.26,64.78,56.96,19367.914999999928
96.04,66.0,57.67,19323.694999999927
96.88,66.75,58.87,19492.534999999923
94.69,70.78,58.46,19492.535000000087
96.1,72.84,58.11,19375.985000000088
