0,1,2,portfolio
119.72,63.99,56.27,20000.0
113.49,63.35,56.35,20000.00000000002
115.24,64.6,56.38,20393.75000000002
115.15,64.34,56.85,20311.85000000002
115.96,64.98,57.1,20513.45000000002
117.16,65.27,57.74,20604.800000000017
116.5,65.77,57.83,20762.300000000017
115.01,65.35,57.59,20630.00000000002
112.65,63.89,55.81,20170.100000000017
105.76,62.45,52.84,19716.50000000002
103.12,60.79,50.34,19193.600000000017
103.74,60.44,51.09,19083.350000000017
109.69,63.14,53.96,19933.850000000017
112.92,64.29,55.95,20296.10000000002
113.29,64.55,55.63,20378.00000000002
112.76,64.82,54.71,20463.050000000017
107.72,63.85,53.5,20157.50000000002
112.34,64.72,55.26,20431.550000000017
110.37,65.11,54.69,20554.40000000002
109.27,66.31,54.28,20932.40000000002
112.31,69.61,55.21,21971.90000000002
110.15,68.3,54.69,21559.25000000002
112.57,69.09,55.37,21808.10000000002
114.21,67.08,56.53,21174.95000000002
115.31,66.84,56.29,21099.35000000002
116.28,67.15,56.91,21197.00000000002
116.41,67.47,57.26,21297.800000000017
113.92,67.03,57.28,21159.20000000002
113.45,67.09,56.84,21178.10000000002
115.21,67.05,57.54,21165.50000000002
113.4,66.58,57.12,21017.45000000002
114.32,67.8,57.79,21401.75000000002
115.0,67.91,58.37,21436.400000000016
114.71,69.2,57.99,21842.75000000002
112.44,67.93,55.77,21442.70000000002
109.06,67.45,55.72,21291.50000000002
110.3,68.38,56.84,21584.450000000015
109.58,67.76,57.48,21389.15000000002
110.38,68.4,58.08,21590.75000000002
110.78,69.75,59.04,22016.00000000002
111.31,69.19,58.69,21839.600000000017
110.78,69.79,58.78,22028.60000000002
109.5,69.5,59.46,21937.25000000002
112.12,68.78,60.07,21710.45000000002
111.6,69.43,60.54,21915.20000000002
111.79,69.04,60.16,21792.35000000002
110.21,68.7,58.82,21685.25000000002
111.86,69.27,59.69,21864.800000000017
111.04,69.26,59.93,21861.65000000002
111.73,69.03,60.97,21789.20000000002
113.77,69.48,60.88,21930.95000000002
113.76,69.47,60.53,21927.800000000017
115.5,70.48,61.49,22245.95000000002
119.08,70.48,62.61,22245.95000000002
115.28,70.05,63.43,22110.50000000002
114.55,69.96,62.71,22082.150000000016
119.27,70.37,63.51,22211.30000000002
120.53,70.13,62.5,22135.700000000015
119.5,69.97,62.57,22085.300000000017
121.18,70.73,62.24,22324.70000000002
122.57,71.36,62.8,22523.15000000002
122.0,65.24,61.96,20595.350000000017
120.92,67.4,62.28,21275.75000000002
121.06,68.01,61.97,21467.90000000002
120.57,68.2,61.34,21527.75000000002
116.77,68.34,62.18,21571.85000000002
116.11,70.02,61.87,22101.050000000017
115.72,69.44,61.07,21918.350000000017
112.34,69.03,59.74,21789.20000000002
114.175,70.02,60.68,22101.050000000017
113.69,71.05,60.55,22425.50000000002
117.29,71.98,61.8,22718.45000000002
118.78,72.45,61.46,22866.50000000002
119.3,72.19,61.99,22784.600000000017
117.75,72.24,62.64,22800.350000000017
118.88,71.96,61.96,22712.150000000016
118.03,71.83,62.19,22671.20000000002
117.81,72.02,62.18,22731.050000000017
118.3,71.78,61.39,22655.45000000002
117.34,72.05,61.37,22740.50000000002
116.28,71.89,61.22,22690.100000000017
115.2,71.08,59.55,22434.95000000002
119.03,72.11,61.75,22759.40000000002
118.28,70.38,61.89,22214.450000000015
118.23,69.75,62.16,22016.00000000002
115.62,69.31,61.18,21877.40000000002
116.17,69.37,61.87,21896.30000000002
113.18,68.61,59.82,21656.90000000002
112.48,68.14,59.92,21508.850000000017
110.49,69.13,59.98,21820.700000000015
111.34,69.52,60.35,21943.550000000017
108.98,68.56,59.515,21641.15000000002
106.03,67.58,58.62,21332.45000000002
107.33,68.03,59.54,21474.20000000002
107.23,68.87,59.99,21738.80000000002
108.61,69.21,60.34,21845.900000000016
108.03,69.06,60.32,21798.65000000002
106.82,69.18,60.19,21836.45000000002
108.74,69.64,61.13,21981.350000000017
107.32,69.3,60.82,21874.25000000002
105.26,68.45,60.03,21606.50000000002
105.35,67.13,58.26,21190.700000000015
102.71,66.39,58.65,20957.600000000017
100.7,65.43,58.13,20655.20000000002
96.45,64.11,56.69,20239.40000000002
96.96,64.25,56.63,20283.50000000002
98.53,64.37,57.82,20321.30000000002
99.96,64.91,59.46,20491.400000000016
97.39,63.37,57.87,20006.300000000017
99.52,63.11,58.98,19924.40000000002
97.13,61.59,58.0,19445.60000000002
96.66,61.13,58.55,19300.70000000002
96.79,60.36,56.92,19058.15000000002
96.3,60.82,59.03,19203.050000000017
101.42,62.04,59.17,19587.350000000017
99.44,62.42,57.71,19707.050000000017
99.99,63.16,58.61,19940.150000000016
93.42,64.8,57.63,20456.75000000002
94.09,64.74,59.285,20437.84999999999
97.34,66.77,60.77,21143.09999999999
96.43,66.85,61.4,20945.62999999999
94.48,64.32,60.695,20522.47999999999
96.35,64.88,59.53,20928.269999999986
96.6,64.25,58.29,20982.519999999986
94.02,62.82,54.49,20422.65999999999
95.01,62.09,54.14,20637.48999999999
94.99,62.24,54.42,20633.149999999987
94.27,60.97,55.14,20476.90999999999
93.7,60.52,54.92,20353.21999999999
93.99,61.78,55.86,20416.149999999987
96.64,63.42,56.41,20991.19999999999
98.12,65.05,57.63,21312.35999999999
96.26,64.78,56.96,20908.73999999999
96.04,66.0,57.67,20860.99999999999
96.88,66.75,58.87,21043.279999999988
94.69,70.78,58.46,20568.04999999999
96.1,72.84,58.11,20874.019999999986
96.76,74.06,58.75,21017.23999999999
96.91,74.86,58.34,21049.789999999986
96.69,73.49,58.21,21002.04999999999
100.53,71.19,60.04,21835.32999999999
100.75,71.28,59.56,21883.06999999999
101.5,71.25,59.04,22045.81999999999
103.01,70.95,58.7,22373.48999999999
101.87,71.01,58.0,22126.10999999999
101.03,71.1,57.6,21943.82999999999
101.12,71.48,57.07,21963.35999999999
101.17,71.22,57.52,21974.20999999999
102.26,71.2,57.59,22210.73999999999
102.52,71.83,58.65,22267.15999999999
104.58,71.97,59.08,22714.17999999999
105.97,72.24,59.67,23015.809999999987
105.8,72.83,59.55,22978.919999999987
105.92,72.59,59.7,23004.95999999999
105.91,73.12,59.1,23002.789999999986
106.72,73.71,59.38,23178.559999999987
106.13,73.15,58.83,23050.529999999988
105.67,72.59,58.36,22950.70999999999
105.19,73.37,58.96,22846.54999999999
107.68,74.09,59.55,23386.87999999999
109.56,74.89,60.01,23794.83999999999
108.99,75.7,59.7,23671.149999999987
109.99,76.11,61.02,23888.149999999987
111.12,76.32,60.25,24133.35999999999
109.81,75.71,60.04,23849.08999999999
110.96,76.09,60.83,24098.63999999999
108.54,74.99,61.17,23573.49999999999
108.66,75.24,61.04,23599.539999999986
109.02,74.88,60.9,23677.65999999999
110.44,75.04,59.5,23985.79999999999
112.04,75.37,60.21,24332.99999999999
112.1,75.31,60.13,24346.019999999986
109.85,75.64,60.51,23857.769999999986
107.48,75.69,60.89,23343.47999999999
106.91,75.97,60.9,23219.789999999986
107.13,75.55,60.9,23267.529999999988
105.97,74.99,60.64,23015.809999999987
105.68,75.56,57.68,22952.87999999999
105.08,75.51,57.77,22822.67999999999
104.35,75.9,57.72,22664.269999999986
97.82,76.04,56.9,21247.259999999987
94.83,75.34,56.42,20598.42999999999
93.74,75.19,56.23,20361.899999999987
93.64,76.0,57.36,20340.19999999999
95.18,74.96,56.25,20674.37999999999
94.19,74.22,56.39,20459.54999999999
93.24,74.25,56.25,20253.399999999987
92.72,70.54,56.31,20140.559999999987
92.79,70.82,56.64,20155.74999999999
93.42,71.05,57.49,20292.45999999999
92.51,70.07,56.23,20094.98999999999
90.34,71.11,56.3,19624.09999999999
90.52,70.62,55.82,19663.15999999999
93.88,70.83,55.53,20392.279999999988
93.49,69.89,54.88,20307.649999999987
94.56,69.46,54.8,20539.83999999999
94.2,68.72,54.55,20461.71999999999
95.22,68.75,54.62,20683.059999999987
96.43,68.78,54.6,20945.62999999999
97.9,69.68,55.44,21264.61999999999
99.62,69.35,55.15,21637.85999999999
100.41,69.4,55.29,21809.289999999986
100.35,69.5,55.15,21796.269999999986
99.86,69.27,54.89,21689.939999999988
98.46,69.06,54.82,21386.13999999999
97.72,68.8,54.62,21225.559999999987
97.92,68.47,54.61,21268.95999999999
98.63,68.77,55.59,21423.029999999988
99.03,68.16,55.3,21509.82999999999
98.94,69.05,55.22,21490.29999999999
99.65,68.56,55.58,21644.36999999999
98.83,67.45,54.865,21466.42999999999
97.34,66.82,55.04,21143.09999999999
97.46,67.24,55.57,21169.13999999999
97.14,67.54,55.35,21099.69999999999
97.55,67.8,55.53,21188.669999999987
95.33,67.33,55.31,20706.92999999999
95.1,68.35,55.38,20657.019999999986
95.91,67.81,55.81,20832.789999999986
95.55,67.43,55.61,20754.669999999987
96.1,68.01,56.13,20874.019999999986
93.4,64.73,54.68,20288.11999999999
92.04,63.08,53.69,19992.99999999999
93.59,63.69,54.85,20329.34999999999
94.4,64.55,56.74,20505.11999999999
95.6,65.97,57.12,20765.519999999986
95.89,66.01,56.99,20828.44999999999
94.99,64.77,56.77,20633.149999999987
95.53,65.3,56.75,20750.32999999999
95.94,65.05,56.91,20839.29999999999
96.68,66.38,56.51,20999.87999999999
96.98,66.62,56.32,21064.97999999999
97.42,67.4,57.48,21160.45999999999
96.87,67.46,56.48,21041.10999999999
98.79,67.58,57.59,21457.74999999999
98.78,67.4,57.41,21455.57999999999
99.83,67.55,56.92,21683.42999999999
99.87,67.5,56.76,21692.10999999999
99.96,67.93,57.54,21711.63999999999
99.43,67.55,57.6,21596.62999999999
98.66,68.25,57.9,21429.539999999986
97.34,68.09,57.95,21143.09999999999
96.67,68.42,58.31,20997.70999999999
102.95,69.26,57.85,22360.46999999999
104.34,69.58,58.21,22662.09999999999
104.21,69.38,58.05,22633.88999999999
106.05,69.63,57.63,23033.169999999987
104.48,68.84,56.73,22692.47999999999
105.79,69.29,55.94,22976.74999999999
105.87,70.24,55.42,22994.10999999999
107.48,73.5,55.9,23343.47999999999
108.37,73.93,55.36,23536.60999999999
108.81,74.28,55.2,23632.08999999999
108.0,74.28,55.62,23456.31999999999
107.93,75.52,55.47,23441.12999999999
108.18,74.54,55.47,23495.37999999999
109.48,75.44,55.25,23777.47999999999
109.38,75.58,55.37,23755.779999999988
109.22,75.68,55.8,23721.059999999987
109.08,75.99,55.53,23690.67999999999
109.36,76.34,54.94,23751.439999999988
108.51,76.49,55.85,23566.98999999999
108.85,76.99,56.4,23640.769999999986
108.03,77.12,57.09,23462.82999999999
107.57,77.18,57.29,23363.009999999987
106.94,77.2,57.29,23226.29999999999
106.82,77.29,56.8,23200.259999999987
106.0,77.51,56.4,23022.31999999999
106.1,76.99,56.23,23044.019999999986
106.73,76.8,56.31,23180.72999999999
107.73,77.95,56.18,23397.72999999999
107.7,78.32,56.02,23391.21999999999
108.36,78.08,56.32,23534.439999999988
105.52,77.37,55.3,22918.15999999999
103.13,76.65,54.35,22399.529999999988
105.44,77.23,54.71,22900.79999999999
107.95,76.09,53.98,23445.46999999999
111.77,75.47,53.9,24274.40999999999
115.57,76.04,54.11,25099.009999999987
114.92,75.63,53.74,24957.95999999999
113.58,75.76,53.01,24667.17999999999
113.57,75.21,53.3,24665.009999999987
113.55,75.73,53.98,24660.669999999987
114.62,76.19,54.39,24892.85999999999
112.71,76.11,54.43,24478.38999999999
112.88,75.95,54.04,24515.279999999988
113.09,76.32,54.19,24560.84999999999
113.95,76.79,53.98,24747.46999999999
112.18,77.21,53.45,24363.37999999999
113.05,76.28,54.14,24552.169999999987
112.52,75.25,53.84,24437.15999999999
113.0,74.42,53.53,24541.31999999999
113.05,74.35,53.35,24552.169999999987
113.89,74.64,53.14,24734.44999999999
114.06,74.48,53.46,24771.33999999999
116.05,74.67,53.3,25203.169999999987
116.3,73.5,52.92,25257.419999999987
117.34,73.76,53.16,25483.09999999999
116.98,73.06,52.95,25404.97999999999
117.63,73.58,53.08,25546.029999999988
117.55,73.13,52.76,25528.669999999987
117.47,73.8,52.61,25511.309999999987
117.12,73.8,53.15,25435.35999999999
117.06,73.57,53.59,25422.33999999999
116.6,73.62,53.63,25322.519999999986
117.65,74.49,54.18,25550.36999999999
118.25,74.16,53.67,25680.56999999999
115.59,73.58,53.63,25103.34999999999
114.48,73.48,53.59,24862.47999999999
113.72,72.83,53.53,24697.559999999987
113.54,72.58,53.07,24658.49999999999
111.49,72.32,52.5,24213.649999999987
111.59,71.57,52.98,24235.34999999999
109.83,71.29,51.77,23853.42999999999
108.84,75.9,52.75,23638.59999999999
110.41,77.71,54.49,23979.289999999986
111.06,78.56,54.62,24120.33999999999
110.88,78.96,54.58,24081.279999999988
107.79,79.19,53.57,23410.74999999999
